mascot,seed,data_mascot,data_article,data_date,data_views
Uga,3,Uga,Uga_(mascot),2025-11-16,1392
Uga,3,Uga,Uga_(mascot),2025-11-17,321
Uga,3,Uga,Uga_(mascot),2025-11-18,270
Uga,3,Uga,Uga_(mascot),2025-11-19,229
Uga,3,Uga,Uga_(mascot),2025-11-20,185
Uga,3,Uga,Uga_(mascot),2025-11-21,229
Uga,3,Uga,Uga_(mascot),2025-11-22,451
Uga,3,Uga,Uga_(mascot),2025-11-23,322
Uga,3,Uga,Uga_(mascot),2025-11-24,189
Uga,3,Uga,Uga_(mascot),2025-11-25,204
Uga,3,Uga,Uga_(mascot),2025-11-26,192
Uga,3,Uga,Uga_(mascot),2025-11-27,268
Uga,3,Uga,Uga_(mascot),2025-11-28,623
Uga,3,Uga,Uga_(mascot),2025-11-29,955
Uga,3,Uga,Uga_(mascot),2025-11-30,440
Uga,3,Uga,Uga_(mascot),2025-12-01,204
Uga,3,Uga,Uga_(mascot),2025-12-02,246
Uga,3,Uga,Uga_(mascot),2025-12-03,204
Uga,3,Uga,Uga_(mascot),2025-12-04,175
Uga,3,Uga,Uga_(mascot),2025-12-05,215
Uga,3,Uga,Uga_(mascot),2025-12-06,2059
Uga,3,Uga,Uga_(mascot),2025-12-07,837
Uga,3,Uga,Uga_(mascot),2025-12-08,309
The Masked Rider,4,The Masked Rider,The_Masked_Rider,2025-08-01,59
The Masked Rider,4,The Masked Rider,The_Masked_Rider,2025-08-02,41
The Masked Rider,4,The Masked Rider,The_Masked_Rider,2025-08-03,33
The Masked Rider,4,The Masked Rider,The_Masked_Rider,2025-08-04,65
